2,2,2014-05-27 20:19:00,NULL,1,5
3,3,2014-02-25 23:28:00,2014-06-28 00:52:00,2,1
4,4,2015-02-24 17:34:00,2014-06-29 14:33:00,1,15
5,5,2015-05-22 07:19:00,2014-06-29 23:03:00,1,5
6,6,2014-03-26 11:54:00,2014-07-01 21:45:00,2,6
7,7,2014-02-18 07:03:00,2014-07-02 05:00:00,1,4
8,8,2014-04-05 13:33:00,2014-07-08 02:33:00,1,2
9,9,2014-07-28 16:38:00,2014-07-13 00:58:00,1,10
10,10,2014-02-26 13:11:00,2014-07-21 18:47:00,2,3
11,11,2014-09-10 16:57:00,2014-07-30 15:53:00,2,8
12,12,2014-09-26 02:25:00,2014-07-31 05:43:00,2,5
13,13,2015-03-20 04:45:00,2014-07-31 16:59:00,2,6
14,14,2014-06-28 23:36:00,2014-08-02 20:08:00,1,4
15,15,2014-04-02 18:55:00,2014-08-07 01:59:00,2,13
16,16,2014-02-05 05:53:00,2014-08-13 07:07:00,2,15
17,17,2014-10-29 16:46:00,2014-08-14 16:12:00,1,2
18,18,2014-01-29 04:02:00,2014-08-16 02:13:00,1,6
19,19,2014-07-12 11:19:00,2014-08-17 20:10:00,1,8
20,20,2014-05-13 04:39:00,2014-08-18 20:36:00,1,12
21,21,2014-05-10 11:31:00,2014-08-31 05:16:00,1,13
22,22,2014-09-01 18:38:00,2014-09-01 01:21:00,2,7
23,23,2014-05-01 07:06:00,2014-09-07 08:47:00,2,7
24,24,2014-09-23 09:41:00,2014-09-15 07:34:00,1,6
25,25,2015-04-09 09:44:00,2014-09-21 21:27:00,1,3
26,26,2015-03-30 04:11:00,2014-09-30 20:09:00,2,5
27,27,2014-10-20 09:51:00,2014-10-09 13:59:00,2,11
28,28,2015-05-11 09:24:00,2014-10-17 16:13:00,2,3
29,29,2015-04-17 01:52:00,2014-10-17 20:44:00,1,11
30,30,2014-06-06 13:38:00,2014-10-20 13:09:00,1,4
31,31,2014-09-26 09:07:00,2014-10-22 21:12:00,1,11
32,32,2014-10-23 03:57:00,2014-10-26 14:18:00,1,3
33,33,2014-10-10 04:06:00,2014-10-28 01:43:00,1,2
34,34,2014-06-27 07:48:00,2014-10-31 07:45:00,2,11
35,35,2014-02-08 01:47:00,2014-10-31 11:22:00,2,1
36,36,2014-04-22 05:55:00,2014-11-01 21:12:00,1,6
37,37,2015-01-03 03:06:00,2014-11-01 23:06:00,2,13
38,38,2015-01-13 13:06:00,2014-11-07 04:17:00,1,5
39,39,2015-04-12 04:13:00,2014-11-13 13:33:00,2,7
40,40,2014-03-15 08:32:00,2014-11-15 10:48:00,2,14
41,41,2014-05-24 04:11:00,2014-11-19 00:07:00,2,15
42,42,2014-10-13 20:49:00,2014-11-19 22:50:00,1,15
43,43,2014-12-13 18:05:00,2014-11-20 01:23:00,1,2
44,44,2014-11-30 11:37:00,2014-11-27 07:54:00,2,11
45,45,2015-05-28 10:50:00,2014-11-28 13:03:00,1,7
46,46,2015-02-22 20:45:00,2014-11-30 14:50:00,2,14
47,47,2014-11-22 10:12:00,2014-12-02 16:29:00,1,6
48,48,2015-04-13 14:18:00,2014-12-10 01:34:00,1,1
49,49,2014-07-16 12:42:00,2014-12-10 18:58:00,2,12
50,50,2015-04-15 18:21:00,2014-12-11 01:51:00,1,1
51,51,2014-08-22 10:38:00,2014-12-16 13:43:00,1,5
52,52,2014-03-23 04:17:00,2014-12-23 02:14:00,1,8
53,53,2014-01-07 04:31:00,2014-12-31 05:12:00,2,11
54,54,2014-03-08 06:35:00,2015-01-04 20:40:00,2,12
55,55,2014-03-22 06:18:00,2015-01-05 14:30:00,2,5
56,56,2014-01-13 22:17:00,2015-01-10 17:41:00,1,1
57,57,2014-08-28 03:45:00,2015-01-15 10:01:00,1,7
58,58,2015-03-15 07:36:00,2015-01-16 10:44:00,1,13
59,59,2014-04-17 19:09:00,2015-01-22 22:18:00,2,12
60,60,2014-10-10 22:23:00,2015-01-24 23:20:00,2,14
61,61,2014-06-26 06:29:00,2015-01-30 14:43:00,1,2
62,62,2014-04-10 01:59:00,2015-02-03 05:00:00,2,1
63,63,2014-03-22 16:40:00,2015-02-08 09:48:00,2,6
